CLIB122_UNIPROT	CLIB122_NCBI	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D
P30614	YALI0F09185g1_1	3.81406E-05	3.31457E-05	2.44018E-05	2.58099E-05	3.22469E-05	3.87118E-05	3.66028E-05	4.00347E-05	3.95989E-05	5.26532E-05	5.09312E-05
Q6C618	YALI0E13255g1_1	3.22252E-05	2.99408E-05	2.971E-05	2.28669E-05	2.46574E-05	2.15565E-05	2.0837E-05	1.89408E-05	1.57049E-05	2.54377E-05	2.28307E-05
Q6C342	YALI0F02805g1_1	3.19346E-05	3.36554E-05	3.70128E-05	3.05435E-05	2.99102E-05	3.24128E-05	2.78322E-05	2.52994E-05	2.09773E-05	3.59167E-05	2.82587E-05
Q6CCT0	YALI0C06820g1_1	6.21764E-05	7.12678E-05	9.58012E-05	4.57613E-05	6.65098E-05	5.13108E-05	5.60408E-05	5.08595E-05	5.93471E-05	8.45332E-05	0.00010151
Q6C211	YALI0F11759g1_1	5.58062E-05	5.49729E-05	6.76363E-05	3.54774E-05	4.03654E-05	3.29893E-05	3.17952E-05	4.17702E-05	2.97221E-05	5.07969E-05	6.37536E-05
Q6BZY5	YALI0F29909g1_1	3.85296E-05	6.34305E-05	3.55224E-05	4.47248E-05	3.24195E-05	2.7326E-05	3.31268E-05	1.52068E-05	8.89101E-06	6.13549E-06	7.28467E-06
Q6CF74	YALI0B09647g1_1	2.22879E-05	3.38483E-05	2.96109E-05	2.17341E-05	3.00816E-05	2.77824E-05	2.66163E-05	2.94655E-05	2.33716E-05	2.50671E-05	3.067E-05
P29407	YALI0D12400g1_1	5.20355E-05	5.48395E-05	4.79742E-05	4.22464E-05	4.39948E-05	3.94829E-05	4.09382E-05	4.55258E-05	3.6005E-05	4.62997E-05	3.57747E-05
Q6CEM5	YALI0B14509g1_1	7.14806E-05	5.86899E-05	7.08769E-05	5.39981E-05	6.01451E-05	4.64006E-05	4.81109E-05	5.095E-05	4.44999E-05	5.78801E-05	4.99587E-05
Q6C4K5	YALI0E26004g1_1	7.29184E-05	7.09475E-05	6.72272E-05	8.01223E-05	7.27066E-05	5.58083E-05	4.74842E-05	4.79843E-05	6.17173E-05	4.55651E-05	5.49971E-05
Q6C4C2	YALI0E27962g1_1	1.83046E-05	1.9611E-05	2.0805E-05	1.99262E-05	1.76889E-05	1.41194E-05	1.94726E-05	8.28125E-06	1.25479E-05	7.63099E-06	8.87786E-06
Q6CEP8	YALI0B14014g1_1	3.64381E-05	3.33744E-05	3.35941E-05	2.77224E-05	1.19574E-05	7.0696E-06	9.36365E-06	3.04244E-05	2.54374E-05	4.39395E-05	4.85295E-05
Q6CFZ7	YALI0B02178g1_1	4.6584E-05	6.34489E-05	4.67109E-05	3.10456E-05	3.62606E-05	4.20016E-05	3.77766E-05	3.81051E-05	2.98383E-05	3.95432E-05	4.48333E-05
Q6C6H1	YALI0E09603g1_1	1.19174E-05	1.14375E-05	7.62456E-06	1.23004E-05	9.54917E-06	7.84183E-06	8.88575E-06	7.58713E-06	8.67213E-06	8.67519E-06	1.31227E-05
Q6C6T4	YALI0E06479g1_1	1.96946E-05	2.69468E-05	2.71242E-05	1.43403E-05	2.19192E-05	1.77573E-05	2.14181E-05	1.31967E-05	1.87522E-05	1.584E-05	1.91189E-05
Q6C6V1	YALI0E06017g1_1	9.62426E-06	1.32351E-05	8.03464E-06	1.01958E-05	9.51941E-06	1.1323E-05	1.09451E-05	1.09873E-05	8.24935E-06	1.11741E-05	1.47844E-05
F2Z678	YALI0E17787g1_1	1.93284E-05	1.99598E-05	2.85411E-05	2.37058E-05	3.70553E-05	2.07084E-05	2.10199E-05	1.29514E-05	1.58921E-05	1.55455E-05	1.57904E-05
Q6CGT5	YALI0A16379g1_1	1.60882E-05	1.61908E-05	2.13741E-05	2.75925E-05	5.16169E-05	3.41672E-05	2.7686E-05	1.14673E-05	1.00156E-05	7.48633E-06	8.20609E-06
